id,stance_target,agree_stance
0,neutral,partial
1,negative,partial
2,negative,partial
3,positive,partial
4,neutral,partial
5,positive,none
6,positive,partial
7,neutral,partial
8,neutral,partial
9,positive,full
10,neutral,none
11,neutral,none
12,neutral,partial
13,neutral,full
14,neutral,partial
15,neutral,none
16,positive,full
17,positive,full
18,neutral,none
19,neutral,partial
20,neutral,partial
21,neutral,none
22,neutral,none
23,neutral,none
24,positive,full
25,positive,partial
26,positive,full
27,neutral,partial
28,negative,none
29,neutral,partial
30,neutral,partial
31,positive,partial
32,neutral,full
33,neutral,partial
34,neutral,none
35,negative,partial
36,neutral,full
37,neutral,none
38,positive,partial
39,positive,partial
40,positive,full
41,neutral,none
42,neutral,partial
43,positive,full
44,negative,partial
45,neutral,full
46,positive,partial
47,neutral,none
48,neutral,none
49,positive,partial
50,neutral,partial
51,neutral,none
52,neutral,none
53,negative,partial
54,neutral,none
55,neutral,none
56,neutral,partial
57,neutral,partial
58,positive,partial
59,neutral,partial
60,neutral,partial
61,positive,full
62,neutral,partial
63,negative,partial
64,neutral,full
65,neutral,partial
66,neutral,partial
67,neutral,partial
68,neutral,partial
69,positive,partial
70,negative,none
71,neutral,none
72,neutral,none
73,neutral,none
74,neutral,none
75,neutral,full
76,neutral,partial
77,negative,full
78,positive,full
79,positive,partial
80,neutral,full
81,neutral,partial
82,neutral,full
83,positive,full
84,neutral,none
85,neutral,none
86,neutral,partial
87,neutral,none
88,neutral,partial
89,neutral,full
90,neutral,none
91,neutral,partial
92,positive,none
93,neutral,partial
94,neutral,partial
95,neutral,none
96,neutral,partial
97,positive,full
98,neutral,partial
99,negative,full
100,neutral,full
101,positive,partial
102,neutral,partial
103,neutral,partial
104,positive,full
105,neutral,none
106,neutral,partial
107,positive,full
108,neutral,partial
109,neutral,partial
110,positive,partial
111,neutral,partial
112,neutral,none
113,positive,partial
114,neutral,none
115,positive,partial
116,positive,partial
117,neutral,partial
118,negative,partial
119,positive,partial
120,neutral,none
121,neutral,none
122,positive,partial
123,neutral,full
124,neutral,full
125,neutral,partial
126,neutral,none
127,neutral,partial
128,neutral,full
129,neutral,partial
130,neutral,partial
131,negative,partial
132,positive,partial
133,neutral,none
134,neutral,none
135,neutral,none
136,negative,full
137,negative,partial
138,neutral,full
139,positive,full
140,positive,partial
141,neutral,none
142,neutral,partial
143,positive,partial
144,positive,partial
145,positive,partial
146,neutral,partial
147,neutral,none
148,neutral,partial
149,neutral,none
150,neutral,full
151,neutral,partial
152,neutral,partial
153,neutral,partial
154,neutral,full
155,neutral,partial
156,positive,partial
157,positive,partial
158,neutral,full
159,neutral,none
160,neutral,none
161,neutral,none
162,neutral,full
163,neutral,none
164,positive,partial
165,neutral,none
166,neutral,none
167,neutral,partial
168,neutral,full
169,neutral,partial
170,positive,partial
171,positive,none
172,neutral,partial
173,positive,partial
174,neutral,full
175,neutral,full
176,positive,partial
177,negative,full
178,neutral,none
179,neutral,none
180,neutral,partial
181,neutral,partial
182,positive,partial
183,neutral,partial
184,neutral,none
185,neutral,full
186,positive,full
187,neutral,none
188,positive,full
189,neutral,none
190,neutral,full
191,positive,partial
192,neutral,none
193,neutral,partial
194,neutral,partial
195,positive,none
196,positive,partial
197,neutral,partial
198,neutral,full
199,positive,partial
200,neutral,partial
201,positive,partial
202,neutral,full
203,positive,partial
204,neutral,full
205,positive,partial
206,neutral,full
207,neutral,partial
208,neutral,partial
209,neutral,none
210,neutral,full
211,neutral,full
212,neutral,none
213,positive,partial
214,positive,partial
215,neutral,partial
216,neutral,none
217,neutral,none
218,neutral,partial
219,neutral,partial
220,neutral,full
221,neutral,partial
222,neutral,full
223,positive,partial
224,neutral,full
225,neutral,none
226,positive,partial
227,negative,none
228,neutral,full
229,positive,partial
230,negative,partial
231,neutral,none
232,neutral,none
233,neutral,partial
234,neutral,none
235,positive,partial
236,neutral,full
237,neutral,full
238,neutral,none
239,neutral,partial
240,neutral,none
241,positive,full
242,neutral,partial
243,negative,partial
244,positive,full
245,neutral,none
246,neutral,full
247,neutral,partial
248,positive,full
249,positive,full
250,neutral,none
251,negative,full
252,neutral,none
253,neutral,full
254,positive,partial
255,positive,partial
256,positive,partial
257,neutral,partial
258,negative,none
259,neutral,full
260,neutral,none
261,neutral,partial
262,neutral,partial
263,neutral,none
264,neutral,partial
265,neutral,partial
266,neutral,full
267,neutral,none
268,positive,none
269,neutral,partial
270,neutral,partial
271,neutral,full
272,neutral,partial
273,neutral,partial
274,negative,partial
275,neutral,partial
276,neutral,none
277,neutral,none
278,positive,partial
279,neutral,none
280,neutral,none
281,neutral,none
282,neutral,none
283,positive,partial
284,neutral,partial
285,neutral,none
286,neutral,full
287,positive,partial
288,neutral,none
289,neutral,none
290,neutral,partial
291,neutral,partial
292,positive,partial
293,neutral,partial
294,neutral,partial
295,positive,partial
296,neutral,none
297,neutral,none
298,neutral,partial
299,neutral,full
300,neutral,none
301,neutral,full
302,neutral,partial
303,neutral,full
304,neutral,none
305,positive,partial
306,positive,partial
307,neutral,none
308,neutral,partial
309,positive,partial
310,neutral,partial
311,neutral,partial
312,neutral,partial
313,neutral,partial
314,neutral,partial
315,neutral,none
316,neutral,partial
317,positive,partial
318,negative,partial
319,neutral,partial
320,neutral,partial
321,positive,partial
322,neutral,none
323,neutral,partial
324,neutral,partial
325,neutral,partial
326,neutral,partial
327,neutral,partial
328,neutral,none
329,neutral,full
330,neutral,full
331,neutral,partial
332,neutral,none
333,neutral,full
334,positive,partial
335,neutral,full
336,neutral,full
337,neutral,partial
338,neutral,partial
339,neutral,partial
340,neutral,partial
341,neutral,none
342,neutral,none
343,neutral,full
344,neutral,partial
345,neutral,partial
346,neutral,none
347,neutral,none
348,neutral,none
349,neutral,partial
350,neutral,none
351,negative,full
352,neutral,none
353,positive,partial
354,neutral,partial
355,neutral,full
356,neutral,full
357,negative,partial
358,neutral,none
359,positive,full
360,positive,partial
361,neutral,partial
362,neutral,partial
363,neutral,partial
364,neutral,partial
365,positive,partial
366,neutral,none
367,neutral,partial
368,neutral,full
369,neutral,partial
370,neutral,partial
371,neutral,full
372,neutral,partial
373,neutral,none
374,neutral,full
375,positive,partial
376,neutral,full
377,neutral,partial
378,neutral,partial
379,neutral,none
380,neutral,partial
381,negative,partial
382,neutral,partial
383,neutral,full
384,neutral,full
385,negative,partial
386,neutral,full
387,neutral,partial
388,neutral,partial
389,neutral,full
390,neutral,full
391,neutral,full
392,neutral,full
393,neutral,full
394,neutral,partial
395,positive,partial
396,neutral,partial
397,neutral,none
398,positive,partial
399,neutral,full
400,neutral,full
401,positive,partial
402,neutral,full
403,neutral,partial
404,neutral,partial
405,neutral,full
406,neutral,partial
407,neutral,full
408,neutral,full
409,neutral,partial
410,neutral,partial
411,neutral,partial
412,neutral,none
413,neutral,none
414,neutral,full
415,neutral,full
416,neutral,partial
417,neutral,partial
418,neutral,partial
419,neutral,full
420,neutral,partial
421,neutral,partial
422,neutral,partial
423,neutral,none
424,neutral,full
425,neutral,full
426,neutral,none
427,negative,full
428,neutral,full
429,neutral,full
430,neutral,full
431,neutral,partial
432,neutral,partial
433,neutral,none
434,neutral,partial
435,neutral,full
436,neutral,none
437,neutral,partial
438,neutral,none
439,positive,partial
440,neutral,full
441,neutral,full
442,neutral,full
443,neutral,full
444,neutral,full
445,neutral,full
446,neutral,full
447,neutral,none
448,neutral,full
449,negative,none
450,neutral,none
451,neutral,partial
452,positive,partial
453,neutral,full
454,neutral,partial
455,neutral,partial
456,neutral,none
457,neutral,partial
458,neutral,full
459,positive,partial
460,neutral,partial
461,neutral,full
462,neutral,partial
463,neutral,partial
464,neutral,partial
465,neutral,full
466,neutral,full
467,neutral,partial
468,neutral,full
469,neutral,full
470,neutral,none
471,neutral,none
472,neutral,none
473,neutral,full
474,neutral,none
475,negative,none
476,positive,partial
477,neutral,partial
478,neutral,full
479,neutral,partial
480,neutral,none
481,neutral,partial
482,neutral,none
483,neutral,partial
484,neutral,full
485,neutral,partial
486,negative,full
487,neutral,full
488,neutral,partial
489,neutral,partial
490,neutral,full
491,neutral,full
492,positive,full
493,neutral,partial
494,neutral,full
495,neutral,full
496,neutral,none
497,positive,partial
498,neutral,partial
499,neutral,full
500,neutral,partial
501,neutral,none
502,neutral,partial
503,neutral,none
504,neutral,full
505,neutral,none
506,neutral,none
507,neutral,partial
508,positive,full
509,neutral,partial
510,neutral,full
511,neutral,none
512,neutral,full
513,neutral,partial
514,neutral,none
515,positive,full
516,neutral,full
517,positive,partial
518,neutral,partial
519,neutral,full
520,neutral,partial
521,neutral,partial
522,neutral,partial
523,neutral,none
524,neutral,full
525,neutral,full
526,positive,full
527,neutral,full
528,neutral,none
529,neutral,none
530,neutral,full
531,positive,partial
532,neutral,partial
533,positive,full
534,positive,partial
535,neutral,full
536,neutral,partial
537,neutral,partial
538,neutral,full
539,neutral,full
540,neutral,none
541,neutral,full
542,neutral,partial
543,neutral,partial
544,neutral,full
545,neutral,partial
546,positive,none
547,neutral,partial
548,neutral,partial
549,negative,none
550,neutral,none
551,neutral,partial
552,neutral,partial
553,neutral,partial
554,neutral,full
555,neutral,partial
556,neutral,partial
557,neutral,none
558,neutral,full
559,neutral,full
560,neutral,full
561,neutral,partial
562,neutral,partial
563,neutral,partial
564,positive,partial
565,neutral,partial
566,neutral,partial
567,neutral,full
568,neutral,full
569,negative,full
570,negative,full
571,neutral,full
572,neutral,full
573,neutral,partial
574,neutral,full
575,neutral,none
576,neutral,partial
577,positive,full
578,neutral,full
579,neutral,full
580,neutral,partial
581,neutral,none
582,neutral,full
583,neutral,partial
584,neutral,full
585,neutral,partial
586,positive,partial
587,positive,full
588,neutral,none
589,neutral,full
590,neutral,full
591,negative,partial
592,neutral,full
593,neutral,full
594,neutral,full
595,neutral,partial
596,neutral,partial
597,neutral,partial
598,neutral,none
599,positive,full
600,neutral,none
601,neutral,partial
602,neutral,full
603,neutral,partial
604,neutral,partial
605,neutral,partial
606,positive,full
607,neutral,full
608,positive,full
609,neutral,partial
610,negative,partial
611,negative,partial
612,neutral,none
613,neutral,none
614,positive,partial
615,neutral,none
616,neutral,none
617,positive,full
618,neutral,none
619,neutral,partial
620,negative,none
621,positive,partial
622,neutral,partial
623,neutral,full
624,neutral,none
625,neutral,none
626,neutral,partial
627,neutral,full
628,neutral,full
629,neutral,partial
630,neutral,none
631,positive,partial
632,neutral,partial
633,neutral,none
634,neutral,none
635,neutral,none
636,neutral,partial
637,positive,partial
638,neutral,full
639,positive,none
640,neutral,none
641,neutral,none
642,neutral,none
643,positive,partial
644,negative,partial
645,neutral,full
646,positive,partial
647,neutral,none
648,neutral,none
649,neutral,partial
650,neutral,partial
651,neutral,none
652,neutral,full
653,neutral,full
654,neutral,partial
655,neutral,none
656,neutral,none
657,neutral,none
658,neutral,none
659,neutral,partial
660,neutral,none
661,neutral,none
662,neutral,none
663,neutral,partial
664,neutral,partial
665,neutral,none
666,positive,full
667,neutral,none
668,neutral,full
669,neutral,partial
670,neutral,partial
671,neutral,full
672,neutral,none
673,neutral,partial
674,neutral,partial
675,neutral,partial
676,neutral,none
677,neutral,full
678,neutral,partial
679,positive,full
680,neutral,partial
