id,stance_target,agree_stance
0,neutral,partial
1,negative,partial
2,negative,partial
3,positive,partial
4,neutral,partial
6,positive,partial
7,neutral,partial
8,neutral,partial
9,positive,full
12,neutral,partial
13,neutral,full
14,neutral,partial
16,positive,full
17,positive,full
19,neutral,partial
20,neutral,partial
24,positive,full
25,positive,partial
26,positive,full
27,neutral,partial
29,neutral,partial
30,neutral,partial
31,positive,partial
32,neutral,full
33,neutral,partial
35,negative,partial
36,neutral,full
38,positive,partial
39,positive,partial
40,positive,full
42,neutral,partial
43,positive,full
44,negative,partial
45,neutral,full
46,positive,partial
49,positive,partial
50,neutral,partial
53,negative,partial
56,neutral,partial
57,neutral,partial
58,positive,partial
59,neutral,partial
60,neutral,partial
61,positive,full
62,neutral,partial
63,negative,partial
64,neutral,full
65,neutral,partial
66,neutral,partial
67,neutral,partial
68,neutral,partial
69,positive,partial
75,neutral,full
76,neutral,partial
77,negative,full
78,positive,full
79,positive,partial
80,neutral,full
81,neutral,partial
82,neutral,full
83,positive,full
86,neutral,partial
88,neutral,partial
89,neutral,full
91,neutral,partial
93,neutral,partial
94,neutral,partial
96,neutral,partial
97,positive,full
98,neutral,partial
99,negative,full
100,neutral,full
101,positive,partial
102,neutral,partial
103,neutral,partial
104,positive,full
106,neutral,partial
107,positive,full
108,neutral,partial
109,neutral,partial
110,positive,partial
111,neutral,partial
113,positive,partial
115,positive,partial
116,positive,partial
117,neutral,partial
118,negative,partial
119,positive,partial
122,positive,partial
123,neutral,full
124,neutral,full
125,neutral,partial
127,neutral,partial
128,neutral,full
129,neutral,partial
130,neutral,partial
131,negative,partial
132,positive,partial
136,negative,full
137,negative,partial
138,neutral,full
139,positive,full
140,positive,partial
142,neutral,partial
143,positive,partial
144,positive,partial
145,positive,partial
146,neutral,partial
148,neutral,partial
150,neutral,full
151,neutral,partial
152,neutral,partial
153,neutral,partial
154,neutral,full
155,neutral,partial
156,positive,partial
157,positive,partial
158,neutral,full
162,neutral,full
164,positive,partial
167,neutral,partial
168,neutral,full
169,neutral,partial
170,positive,partial
172,neutral,partial
173,positive,partial
174,neutral,full
175,neutral,full
176,positive,partial
177,negative,full
180,neutral,partial
181,neutral,partial
182,positive,partial
183,neutral,partial
185,neutral,full
186,positive,full
188,positive,full
190,neutral,full
191,positive,partial
193,neutral,partial
194,neutral,partial
196,positive,partial
197,neutral,partial
198,neutral,full
199,positive,partial
200,neutral,partial
201,positive,partial
202,neutral,full
203,positive,partial
204,neutral,full
205,positive,partial
206,neutral,full
207,neutral,partial
208,neutral,partial
210,neutral,full
211,neutral,full
213,positive,partial
214,positive,partial
215,neutral,partial
218,neutral,partial
219,neutral,partial
220,neutral,full
221,neutral,partial
222,neutral,full
223,positive,partial
224,neutral,full
226,positive,partial
228,neutral,full
229,positive,partial
230,negative,partial
233,neutral,partial
235,positive,partial
236,neutral,full
237,neutral,full
239,neutral,partial
241,positive,full
242,neutral,partial
243,negative,partial
244,positive,full
246,neutral,full
247,neutral,partial
248,positive,full
249,positive,full
251,negative,full
253,neutral,full
254,positive,partial
255,positive,partial
256,positive,partial
257,neutral,partial
259,neutral,full
261,neutral,partial
262,neutral,partial
264,neutral,partial
265,neutral,partial
266,neutral,full
269,neutral,partial
270,neutral,partial
271,neutral,full
272,neutral,partial
273,neutral,partial
274,negative,partial
275,neutral,partial
278,positive,partial
283,positive,partial
284,neutral,partial
286,neutral,full
287,positive,partial
290,neutral,partial
291,neutral,partial
292,positive,partial
293,neutral,partial
294,neutral,partial
295,positive,partial
298,neutral,partial
299,neutral,full
301,neutral,full
302,neutral,partial
303,neutral,full
305,positive,partial
306,positive,partial
308,neutral,partial
309,positive,partial
310,neutral,partial
311,neutral,partial
312,neutral,partial
313,neutral,partial
314,neutral,partial
316,neutral,partial
317,positive,partial
318,negative,partial
319,neutral,partial
320,neutral,partial
321,positive,partial
323,neutral,partial
324,neutral,partial
325,neutral,partial
326,neutral,partial
327,neutral,partial
329,neutral,full
330,neutral,full
331,neutral,partial
333,neutral,full
334,positive,partial
335,neutral,full
336,neutral,full
337,neutral,partial
338,neutral,partial
339,neutral,partial
340,neutral,partial
343,neutral,full
344,neutral,partial
345,neutral,partial
349,neutral,partial
351,negative,full
353,positive,partial
354,neutral,partial
355,neutral,full
356,neutral,full
357,negative,partial
359,positive,full
360,positive,partial
361,neutral,partial
362,neutral,partial
363,neutral,partial
364,neutral,partial
365,positive,partial
367,neutral,partial
368,neutral,full
369,neutral,partial
370,neutral,partial
371,neutral,full
372,neutral,partial
374,neutral,full
375,positive,partial
376,neutral,full
377,neutral,partial
378,neutral,partial
380,neutral,partial
381,negative,partial
382,neutral,partial
383,neutral,full
384,neutral,full
385,negative,partial
386,neutral,full
387,neutral,partial
388,neutral,partial
389,neutral,full
390,neutral,full
391,neutral,full
392,neutral,full
393,neutral,full
394,neutral,partial
395,positive,partial
396,neutral,partial
398,positive,partial
399,neutral,full
400,neutral,full
401,positive,partial
402,neutral,full
403,neutral,partial
404,neutral,partial
405,neutral,full
406,neutral,partial
407,neutral,full
408,neutral,full
409,neutral,partial
410,neutral,partial
411,neutral,partial
414,neutral,full
415,neutral,full
416,neutral,partial
417,neutral,partial
418,neutral,partial
419,neutral,full
420,neutral,partial
421,neutral,partial
422,neutral,partial
424,neutral,full
425,neutral,full
427,negative,full
428,neutral,full
429,neutral,full
430,neutral,full
431,neutral,partial
432,neutral,partial
434,neutral,partial
435,neutral,full
437,neutral,partial
439,positive,partial
440,neutral,full
441,neutral,full
442,neutral,full
443,neutral,full
444,neutral,full
445,neutral,full
446,neutral,full
448,neutral,full
451,neutral,partial
452,positive,partial
453,neutral,full
454,neutral,partial
455,neutral,partial
457,neutral,partial
458,neutral,full
459,positive,partial
460,neutral,partial
461,neutral,full
462,neutral,partial
463,neutral,partial
464,neutral,partial
465,neutral,full
466,neutral,full
467,neutral,partial
468,neutral,full
469,neutral,full
473,neutral,full
476,positive,partial
477,neutral,partial
478,neutral,full
479,neutral,partial
481,neutral,partial
483,neutral,partial
484,neutral,full
485,neutral,partial
486,negative,full
487,neutral,full
488,neutral,partial
489,neutral,partial
490,neutral,full
491,neutral,full
492,positive,full
493,neutral,partial
494,neutral,full
495,neutral,full
497,positive,partial
498,neutral,partial
499,neutral,full
500,neutral,partial
502,neutral,partial
504,neutral,full
507,neutral,partial
508,positive,full
509,neutral,partial
510,neutral,full
512,neutral,full
513,neutral,partial
515,positive,full
516,neutral,full
517,positive,partial
518,neutral,partial
519,neutral,full
520,neutral,partial
521,neutral,partial
522,neutral,partial
524,neutral,full
525,neutral,full
526,positive,full
527,neutral,full
530,neutral,full
531,positive,partial
532,neutral,partial
533,positive,full
534,positive,partial
535,neutral,full
536,neutral,partial
537,neutral,partial
538,neutral,full
539,neutral,full
541,neutral,full
542,neutral,partial
543,neutral,partial
544,neutral,full
545,neutral,partial
547,neutral,partial
548,neutral,partial
551,neutral,partial
552,neutral,partial
553,neutral,partial
554,neutral,full
555,neutral,partial
556,neutral,partial
558,neutral,full
559,neutral,full
560,neutral,full
561,neutral,partial
562,neutral,partial
563,neutral,partial
564,positive,partial
565,neutral,partial
566,neutral,partial
567,neutral,full
568,neutral,full
569,negative,full
570,negative,full
571,neutral,full
572,neutral,full
573,neutral,partial
574,neutral,full
576,neutral,partial
577,positive,full
578,neutral,full
579,neutral,full
580,neutral,partial
582,neutral,full
583,neutral,partial
584,neutral,full
585,neutral,partial
586,positive,partial
587,positive,full
589,neutral,full
590,neutral,full
591,negative,partial
592,neutral,full
593,neutral,full
594,neutral,full
595,neutral,partial
596,neutral,partial
597,neutral,partial
599,positive,full
601,neutral,partial
602,neutral,full
603,neutral,partial
604,neutral,partial
605,neutral,partial
606,positive,full
607,neutral,full
608,positive,full
609,neutral,partial
610,negative,partial
611,negative,partial
614,positive,partial
617,positive,full
619,neutral,partial
621,positive,partial
622,neutral,partial
623,neutral,full
626,neutral,partial
627,neutral,full
628,neutral,full
629,neutral,partial
631,positive,partial
632,neutral,partial
636,neutral,partial
637,positive,partial
638,neutral,full
643,positive,partial
644,negative,partial
645,neutral,full
646,positive,partial
649,neutral,partial
650,neutral,partial
652,neutral,full
653,neutral,full
654,neutral,partial
659,neutral,partial
663,neutral,partial
664,neutral,partial
666,positive,full
668,neutral,full
669,neutral,partial
670,neutral,partial
671,neutral,full
673,neutral,partial
674,neutral,partial
675,neutral,partial
677,neutral,full
678,neutral,partial
679,positive,full
680,neutral,partial
681,neutral,full
682,positive,full
683,neutral,full
684,neutral,full
685,neutral,partial
687,neutral,partial
688,negative,full
689,neutral,partial
690,positive,full
691,positive,partial
692,neutral,partial
694,neutral,partial
695,neutral,partial
696,negative,partial
697,neutral,full
698,neutral,partial
699,neutral,partial
700,neutral,partial
702,neutral,partial
703,neutral,full
705,neutral,partial
706,positive,full
707,neutral,partial
709,neutral,partial
710,neutral,full
711,neutral,full
712,neutral,partial
714,negative,partial
715,neutral,full
716,neutral,partial
717,negative,partial
718,neutral,full
720,neutral,full
721,neutral,full
723,neutral,partial
724,neutral,partial
725,neutral,full
726,neutral,partial
727,positive,partial
729,positive,partial
730,negative,partial
732,neutral,full
733,positive,full
734,neutral,partial
735,positive,partial
736,neutral,partial
737,neutral,partial
739,negative,full
742,neutral,partial
744,positive,partial
745,neutral,partial
747,positive,full
748,neutral,partial
749,positive,full
751,neutral,partial
752,neutral,partial
753,neutral,partial
754,neutral,partial
756,negative,partial
757,neutral,partial
761,neutral,partial
763,neutral,full
764,neutral,partial
765,neutral,partial
766,neutral,partial
768,neutral,partial
769,neutral,full
771,neutral,partial
773,neutral,partial
774,negative,partial
775,neutral,full
776,positive,partial
777,neutral,full
778,neutral,partial
779,neutral,partial
781,neutral,partial
782,neutral,partial
785,neutral,partial
786,neutral,partial
787,neutral,partial
788,neutral,partial
789,neutral,full
790,positive,full
792,neutral,partial
793,neutral,partial
795,neutral,partial
797,negative,partial
798,neutral,partial
801,neutral,partial
809,neutral,full
810,neutral,full
811,positive,partial
812,neutral,full
814,positive,partial
815,negative,partial
816,neutral,partial
818,neutral,partial
819,neutral,full
820,positive,partial
821,neutral,full
822,neutral,full
828,neutral,full
829,positive,full
831,neutral,partial
833,positive,partial
834,neutral,partial
835,neutral,full
836,neutral,partial
838,neutral,partial
839,positive,full
840,positive,full
841,positive,partial
842,neutral,partial
843,neutral,partial
844,negative,full
845,positive,partial
847,positive,full
848,neutral,full
849,neutral,partial
851,neutral,full
852,neutral,full
853,neutral,full
854,neutral,partial
855,neutral,full
857,neutral,full
858,positive,full
859,neutral,full
860,neutral,partial
861,neutral,partial
862,neutral,partial
863,positive,full
865,neutral,partial
866,neutral,full
867,neutral,full
868,negative,partial
869,neutral,full
870,neutral,partial
871,neutral,partial
873,negative,partial
874,neutral,full
875,neutral,full
876,neutral,partial
877,neutral,partial
878,neutral,partial
879,neutral,full
880,positive,partial
881,neutral,full
882,neutral,full
883,neutral,full
884,neutral,full
885,neutral,full
886,neutral,partial
887,neutral,partial
888,neutral,partial
889,neutral,partial
890,neutral,partial
891,neutral,full
892,neutral,partial
893,neutral,partial
894,neutral,full
895,neutral,full
896,neutral,partial
897,neutral,partial
