Experiment,Target,LLM,Class,Frequency,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
baby_center,class_target,claude,yes,69,0.9758,0.6667,0.867,0.9254,0.867,0.9758,0.9182,0.69,0.6733,0.7767,0.8213
baby_center,class_target,claude,no,24,0.7361,0.9386,0.791,0.9185,0.791,0.7361,0.7626,0.24,0.1767,0.2233,0.8374
baby_center,class_target,claude,unrelated,7,0,1,NA,0.93,NA,0,NA,0.07,0,0,0.5
baby_center,class_target,gemini,yes,69,1,0.5376,0.828,1,0.828,1,0.9059,0.69,0.69,0.8333,0.7688
baby_center,class_target,gemini,no,24,0.625,0.9781,0.9,0.892,0.9,0.625,0.7377,0.24,0.15,0.1667,0.8015
baby_center,class_target,gemini,unrelated,7,0,1,NA,0.93,NA,0,NA,0.07,0,0,0.5
baby_center,class_target,gemini2,yes,69,0.9903,0.6667,0.8686,0.9687,0.8686,0.9903,0.9255,0.69,0.6833,0.7867,0.8285
baby_center,class_target,gemini2,no,24,0.7222,0.9474,0.8125,0.9153,0.8125,0.7222,0.7647,0.24,0.1733,0.2133,0.8348
baby_center,class_target,gemini2,unrelated,7,0,1,NA,0.93,NA,0,NA,0.07,0,0,0.5
baby_center,class_target,gpt4o,yes,69,0.9565,0.7312,0.8879,0.8831,0.8879,0.9565,0.9209,0.69,0.66,0.7433,0.8439
baby_center,class_target,gpt4o,no,24,0.7917,0.9123,0.7403,0.9327,0.7403,0.7917,0.7651,0.24,0.19,0.2567,0.852
baby_center,class_target,gpt4o,unrelated,7,0,1,NA,0.93,NA,0,NA,0.07,0,0,0.5
baby_center,class_target,gpt4omini,yes,69,0.9952,0.6129,0.8512,0.9828,0.8512,0.9952,0.9176,0.69,0.6867,0.8067,0.804
baby_center,class_target,gpt4omini,no,24,0.7083,0.9693,0.8793,0.9132,0.8793,0.7083,0.7846,0.24,0.17,0.1933,0.8388
baby_center,class_target,gpt4omini,unrelated,7,0,1,NA,0.93,NA,0,NA,0.07,0,0,0.5
baby_center,class_target,gpto1,yes,69,0.9794,0.6154,0.8444,0.9333,0.8444,0.9794,0.9069,0.6807,0.6667,0.7895,0.7974
baby_center,class_target,gpto1,no,24,0.6429,0.9302,0.75,0.8889,0.75,0.6429,0.6923,0.2456,0.1579,0.2105,0.7865
baby_center,class_target,gpto1,unrelated,7,0,1,NA,0.9263,NA,0,NA,0.0737,0,0,0.5
baby_center,class_target,gpto1mini,yes,69,0.9719,0.519,0.8199,0.8913,0.8199,0.9719,0.8895,0.6926,0.6732,0.821,0.7454
baby_center,class_target,gpto1mini,no,24,0.541,0.9337,0.7174,0.8673,0.7174,0.541,0.6168,0.2374,0.1284,0.179,0.7373
baby_center,class_target,gpto1mini,unrelated,7,0,1,NA,0.93,NA,0,NA,0.07,0,0,0.5
don_300,DiseaseLevel1,claude,ebola virus,22,0.3182,1,1,0.8387,1,0.3182,0.4828,0.22,0.07,0.07,0.6591
don_300,DiseaseLevel1,claude,dengue fever,2.7,0,1,NA,0.9733,NA,0,NA,0.0267,0,0,0.5
don_300,DiseaseLevel1,claude,polio,5,0.2667,1,1,0.9628,1,0.2667,0.4211,0.05,0.0133,0.0133,0.6333
don_300,DiseaseLevel1,claude,measles,2.3,0.7143,1,1,0.9932,1,0.7143,0.8333,0.0233,0.0167,0.0167,0.8571
don_300,DiseaseLevel1,claude,lassa fever,2,0.5,1,1,0.9899,1,0.5,0.6667,0.02,0.01,0.01,0.75
don_300,DiseaseLevel1,claude,meningococcal disease,10.3,0.129,1,1,0.9088,1,0.129,0.2286,0.1033,0.0133,0.0133,0.5645
don_300,DiseaseLevel1,claude,cholera,19.7,0.661,0.9917,0.9512,0.9228,0.9512,0.661,0.78,0.1967,0.13,0.1367,0.8264
don_300,DiseaseLevel1,claude,yellow fever,3,0.8889,0.9931,0.8,0.9966,0.8,0.8889,0.8421,0.03,0.0267,0.0333,0.941
don_300,DiseaseLevel1,claude,influenza a,7,0,1,NA,0.93,NA,0,NA,0.07,0,0,0.5
don_300,DiseaseLevel1,claude,e. coli,1.3,0,1,NA,0.9867,NA,0,NA,0.0133,0,0,0.5
don_300,DiseaseLevel1,claude,zika virus disease,1,0,1,NA,0.99,NA,0,NA,0.01,0,0,0.5
don_300,DiseaseLevel1,claude,rift valley fever,1,1,1,1,1,1,1,1,0.01,0.01,0.01,1
don_300,DiseaseLevel1,claude,streptococcus suis,0.3,1,1,1,1,1,1,1,0.0033,0.0033,0.0033,1
don_300,DiseaseLevel1,claude,plague,1.7,0.6,1,1,0.9933,1,0.6,0.75,0.0167,0.01,0.01,0.8
don_300,DiseaseLevel1,claude,"hand, foot, and mouth disease",0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
don_300,DiseaseLevel1,claude,chikungunya,1,0.3333,1,1,0.9933,1,0.3333,0.5,0.01,0.0033,0.0033,0.6667
don_300,DiseaseLevel1,claude,marburg fever,3,0,1,NA,0.97,NA,0,NA,0.03,0,0,0.5
don_300,DiseaseLevel1,claude,hantavirus,0.7,1,1,1,1,1,1,1,0.0067,0.0067,0.0067,1
don_300,DiseaseLevel1,claude,sars-cov,1,0,1,NA,0.99,NA,0,NA,0.01,0,0,0.5
don_300,DiseaseLevel1,claude,syndromic: neurological,4.3,0,1,NA,0.9567,NA,0,NA,0.0433,0,0,0.5
don_300,DiseaseLevel1,claude,syndromic: respiratory,0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
don_300,DiseaseLevel1,claude,nipah virus,0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
don_300,DiseaseLevel1,claude,syndromic: diarrhoeal,0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
don_300,DiseaseLevel1,claude,west nile virus,1,1,0.9966,0.75,1,0.75,1,0.8571,0.01,0.01,0.0133,0.9983
don_300,DiseaseLevel1,claude,malaria,0.7,0.5,1,1,0.9967,1,0.5,0.6667,0.0067,0.0033,0.0033,0.75
don_300,DiseaseLevel1,claude,leptospirosis,0.3,1,1,1,1,1,1,1,0.0033,0.0033,0.0033,1
don_300,DiseaseLevel1,claude,typhoid,0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
don_300,DiseaseLevel1,claude,human coronavirus oc43,0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
don_300,DiseaseLevel1,claude,mers-cov,1.3,0,1,NA,0.9867,NA,0,NA,0.0133,0,0,0.5
don_300,DiseaseLevel1,claude,staphylococcus,0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
don_300,DiseaseLevel1,claude,guillain-barre syndrome,0.7,0,1,NA,0.9933,NA,0,NA,0.0067,0,0,0.5
don_300,DiseaseLevel1,claude,transmissible spongiform encephalopathy,0.3,0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
