id,class_llm,adverse reaction
0,yes,allergic reaction
1,no,NA
2,yes,"drowsiness, fussiness, crying, fever"
3,yes,absence of fever and bad reactions
4,yes,arm soreness and fatigue
5,yes,fussiness and sleep disruption
6,yes,fever and blisters
7,yes,sore arm
8,yes,fever
9,yes,"fever, crying"
10,no,NA
11,yes,fever
12,yes,sore thighs
13,yes,fda reportable vax injuries
14,yes,"mild vaccine reaction, allergies to certain parts of vaccines"
15,yes,"bumps, rash"
16,yes,"fever, fussiness, restlessness"
17,no,NA
18,no,NA
19,yes,fever
20,yes,seizure as a side effect of mmr vaccine
21,no,NA
22,no,NA
23,yes,fever
24,yes,fever
25,no,NA
26,yes,a tad fussiness
27,no,NA
28,no,NA
29,yes,vomiting
30,yes,seizure
31,yes,"high fever, developmental regression"
32,yes,fever and rash
33,no,NA
34,yes,febrile seizure
35,yes,NA
36,yes,arm pain
37,yes,sore arm
38,no,NA
39,yes,"tiredness, low appetite, warm, cranky"
40,yes,"leg redness, swelling, fever"
41,yes,reactions
42,yes,small reaction
43,yes,fever
44,yes,sore arm
45,yes,concern about mercury as a preservative
46,yes,"arm soreness, severe pain"
47,yes,diarrhea
48,yes,rash at injection site
49,no,NA
50,yes,nearly-deadly allergic reaction to the pertussis part of the tdap vaccine
51,yes,NA
52,yes,NA
53,yes,"seizures, behavioral changes"
54,yes,"fever, slept more"
55,yes,tenderness at injection site
56,yes,"fever, diarrhea, fussiness"
57,no,none
58,yes,"pain in arms and legs, migraines, and low-grade fever"
59,yes,"fever, behavioral changes, trouble sleeping, sleeping a lot, appetite drop"
60,yes,severe reaction
61,yes,NA
62,yes,reactions
63,yes,extra sleepy
64,yes,fussy and didn't sleep well
65,no,NA
66,no,NA
67,yes,"sore arm, flu-like symptoms (headache, chills, soreness, tiredness)"
68,yes,very bad reaction
69,yes,"seizures, uncontrollable fever, cellulitis"
70,yes,severe brain damage
71,yes,low grade fever
72,yes,"muscle soreness, joint stiffness, large itchy red lump at injection site, pain leading to nausea and inability to work"
73,yes,"bad rash, personality change"
74,yes,terrible reaction
75,yes,injection site lesions and crankiness
76,yes,fever
77,no,NA
78,yes,severe reaction to mmr vaccine
79,yes,"arm soreness, body aches, lingering soreness"
80,no,NA
81,yes,fever after shot
82,yes,paralyzed for a day
83,yes,fever
84,yes,"sore leg, fever, dizziness"
85,yes,"frequent ear infections, bad skin, constant colds"
86,yes,NA
87,yes,very bad reaction to the meningitis vaccine
88,yes,reactions to shots
89,yes,no severe side effects
90,yes,bad reaction to mmr vaccine
91,yes,possible reaction to shots
92,yes,fever
93,yes,allergic reaction
94,yes,horrible reaction
95,yes,"fever, large knot, red spot"
96,no,"no issues, no reactions."
97,yes,diarrhea and upset tummy
98,yes,sore arm
99,yes,"fever, fussy, difficulty sleeping"
100,yes,diarrhea
101,NA,NA
102,yes,fussy
103,yes,"severe reactions, near-death experience, hospitalization, unborn child's lack of movement"
104,yes,fussy
105,adverse,NA
106,yes,NA
